"1984","George Orwell","Secker and Warburg",1949,9780451524935,Available,,1741625320
"To Kill a Mockingbird","Harper Lee","JB Lippincott and Co",1960,9780061120084,Available,,
"The Great Gatsby","FScott Fitzgerald","Charles Scribners Sons",1925,9780743273565,Available,,
"Moby Dick","Herman Melville","Richard Bentley",1851,9780143052553,Available,,
"War and Peace","Leo Tolstoy","The Russian Messenger",1869,9780140444179,Available,,
"Hamlet","William Shakespeare","unknown",1603,9780743477123,Available,,
"The Odyssey","Homer","unknown",-800,9780143039950,Available,,
"The Divine Comedy","Dante Alighieri","unknown",1320,9780140441000,Available,,
"One Hundred Years of Solitude","Gabriel Garcia Marquez","Harper and Row",1967,9780061120039,Available,,
"The Brothers Karamazov","Fyodor Dostoevsky","The Russian Messenger",1880,9780374528375,Available,,
"The Catcher in the Rye","JD Salinger","Little Brown and Company",1951,9780316769532,Available,,
"Crime and Punishment","Fyodor Dostoevsky","The Russian Messenger",1866,9780307950654,Available,,
"Alices Adventures in Wonderland","Lewis Carroll","Macmillan",1865,9780141321004,Available,,
"The Adventures of Sherlock Holmes","Arthur Conan Doyle","George Newnes Ltd",1892,9780192833558,Available,,
"Don Quixote","Miguel de Cervantes","Francisco de Robles",1605,9780060934347,Available,,
"Ulysses","James Joyce","Shakespeare and Company",1922,9781847492754,Available,,
"The Picture of Dorian Gray","Oscar Wilde","Ward Lock and Company",1890,9780141439570,Available,,
"Anna Karenina","Leo Tolstoy","The Russian Messenger",1877,9780143035006,Available,,
